FinInstrmGnlAttrbts.Id,FinInstrmGnlAttrbts.FullNm,FinInstrmGnlAttrbts.ClssfctnTp,FinInstrmGnlAttrbts.NtnlCcy,FinInstrmGnlAttrbts.CmmdtyDerivInd,Issr
DE000A1R07V3,Kreditanst.f.Wiederaufbau     Anl.v.2014 (2021),DBFTFB,EUR,false,549300GDPG70E3MBBU98
DE000A1R07V3,KFW 1 5/8 01/15/21,DBFTFB,EUR,false,549300GDPG70E3MBBU98
DE000A1R07V3,Kreditanst.f.Wiederaufbau Anl.v.2014 (2021),DBFTFB,EUR,false,549300GDPG70E3MBBU98
DE000A1R07V3,Kreditanst.f.Wiederaufbau Anl.v.2014 (2021),DBFTFB,EUR,false,549300GDPG70E3MBBU98
DE000A1X3J56,IKB Deutsche Industriebank AG Stufenz.MTN-IHS v.2014(2021),DTVUFB,EUR,false,PWEFG14QWWESISQ84C69
DE000A1X3J56,IKB Deutsche Industriebank AG Stufenz.MTN-IHS v.2014(2021),DTVUFB,EUR,false,PWEFG14QWWESISQ84C69
DE000A1X3J56,LSFEU  3.700  1/20/21 (URegS),DTVUFB,EUR,false,PWEFG14QWWESISQ84C69
DE000A1YC5L8,NIESA Float 01/15/21 BOND,DNVTFB,EUR,false,391200ITQQZ7JMHXK080
DE000A1YC5L8,NIESA Float 01/15/21 BOND,DNVTFB,EUR,false,391200ITQQZ7JMHXK080
DE000A1YC5L8,NIESA  1/15/21 (FRN) NIEDERSACHSEN,DNVTFB,EUR,false,391200ITQQZ7JMHXK080
DE000A2252F1,EURJPY Long 125.4520201229,RFCTCB,EUR,false,213800MYZ42K9PTIJ680
DE000A2253D4,Italy 40 Long 2230020210106,RFITCB,EUR,false,213800MYZ42K9PTIJ680
DE000A2253N3,France 40 Long 557520210112,RFITCB,EUR,false,213800MYZ42K9PTIJ680
DE000A2253R4,Spain 35 Long 825020210112,RFITCB,EUR,false,213800MYZ42K9PTIJ680
DE000A225468,US Tech 100 Long 12787.520210113,RFITCB,EUR,false,213800MYZ42K9PTIJ680
DE000A225492,Italy 40 Long 2230020210114,RFITCB,EUR,false,213800MYZ42K9PTIJ680
DE000A2254A8,Italy 40 Long 2250020210114,RFITCB,EUR,false,213800MYZ42K9PTIJ680
DE000A2254B6,US Tech 100 Long 12862.520210114,RFITCB,EUR,false,213800MYZ42K9PTIJ680
DE000A2254D2,FTSE 100 Long 6712.520210114,RFITCB,EUR,false,213800MYZ42K9PTIJ680
DE000A229742,EURUSD Long 1.20620201210,RFCTCB,EUR,false,213800MYZ42K9PTIJ680
DE000A22NS07,Germany 30 Long 1374020210106,RFITCB,EUR,false,213800MYZ42K9PTIJ680
DE000A22NS64,Germany 30 Long 1386020210111,RFITCB,EUR,false,213800MYZ42K9PTIJ680
DE000A22PE84,Wall Street Long 3062520210106,RFITCB,EUR,false,213800MYZ42K9PTIJ680
DE000A22PF26,US 500 Long 376520210107,RFITCB,EUR,false,213800MYZ42K9PTIJ680
DE000A22PF42,Wall Street Long 3087520210111,RFITCB,EUR,false,213800MYZ42K9PTIJ680
DE000A22PGV0,Wall Street Short 3087520210115,RFITPB,EUR,false,213800MYZ42K9PTIJ680
DE000A22PY80,Gold Long 183020210111,RFTTCB,EUR,true,213800MYZ42K9PTIJ680
DE000A22Q1Q9,Gold Long 184220210115,RFTTCB,EUR,true,213800MYZ42K9PTIJ680
DE000A22Q1S5,Brent Crude Long 54.9520210111,RFMTCB,EUR,true,213800MYZ42K9PTIJ680
DE000A22Q1T3,US Crude Long 51.920210112,RFMTCB,EUR,true,213800MYZ42K9PTIJ680
DE000A22Q221,Gold Short 185420210114,RFTTPB,EUR,true,213800MYZ42K9PTIJ680
DE000A22Q338,US Crude Long 52.520210114,RFMTCB,EUR,true,213800MYZ42K9PTIJ680
DE000A22Q403,Brent Crude Long 55.6520210114,RFMTCB,EUR,true,213800MYZ42K9PTIJ680
DE000A22Q4B5,US Crude Long 53.120210114,RFMTCB,EUR,true,213800MYZ42K9PTIJ680
DE000A2AAJ76,Niedersachsen, Land           Landessch.v.16(21) Ausg.858,DNFTFB,EUR,false,391200ITQQZ7JMHXK080
DE000A2AAJ76,Niedersachsen, Land Landessch.v.16(21) Ausg.858,DNFTFB,EUR,false,391200ITQQZ7JMHXK080
DE000A2AAJ76,Niedersachsen, Land Landessch.v.16(21) Ausg.858,DNFTFB,EUR,false,391200ITQQZ7JMHXK080
DE000A2AAJ76,SACHAN  0.100  1/20/21,DNFTFB,EUR,false,391200ITQQZ7JMHXK080
DE000A2AAJ76,Niedersachsen 21,DNFTFB,EUR,false,391200ITQQZ7JMHXK080
DE000A2AAJ76,NIESA 0.1 01/20/21,DNFTFB,EUR,false,391200ITQQZ7JMHXK080
DE000A2AAJ76,NIESA 0.1 01/20/21,DNFTFB,EUR,false,391200ITQQZ7JMHXK080
DE000A2BN9W0,IKB Deutsche Industriebank AG Festzins Plus 01/21 v.17(21),DTVUFB,EUR,false,PWEFG14QWWESISQ84C69
DE000A2BN9W0,IKB Deutsche Industriebank AG Festzins Plus 01/21 v.17(21),DTVUFB,EUR,false,PWEFG14QWWESISQ84C69
DE000A2BN9W0,LSFEU  1.300  1/20/21 (URegS),DTVUFB,EUR,false,PWEFG14QWWESISQ84C69
DE000A2E4D18,SACHAN 0 01/22/21,DYFTXB,EUR,false,529900LA98JTSA1MF831
DE000A2E4QE8,IKB Deutsche Industriebank AG MTN-IHS v.2017(2021),DTFUFB,EUR,false,PWEFG14QWWESISQ84C69
DE000A2E4QE8,IKB Deutsche Industriebank AG MTN-IHS v.2017(2021),DTFUFB,EUR,false,PWEFG14QWWESISQ84C69
DE000A2E4QE8,LSFEU  1.200  1/20/21 (URegS),DTFUFB,EUR,false,PWEFG14QWWESISQ84C69
DE000A3H21V1,Velero Immobilien AGNamens-Aktien o.N.,ESVUFR,EUR,false,529900V7S2RCPU0XFA24
DE000BHY1257,BHH 2 01/22/21,DBFUGB,EUR,false,529900C4RSSBWXBSY931
DE000C20QLG9,OEMB SI 20210115 PS AM C 94.00 0,OCAIPS,USD,false,529900UT4DG0LG5R9O07
DE000C20QLH7,OEMB SI 20210115 PS AM P 94.00 0,OPAIPS,USD,false,529900UT4DG0LG5R9O07
DE000C22PH63,OQDE SI 20210115 PS AM C 116.00 0,OCAIPS,USD,false,529900UT4DG0LG5R9O07
DE000C22PH71,OQDE SI 20210115 PS AM P 116.00 0,OPAIPS,USD,false,529900UT4DG0LG5R9O07
DE000C23LB39,OHYU SI 20210115 PS AM C 89.00 0,OCAIPS,USD,false,529900UT4DG0LG5R9O07
DE000C23LB47,OHYU SI 20210115 PS AM P 89.00 0,OPAIPS,USD,false,529900UT4DG0LG5R9O07
DE000C23LB54,OHYU SI 20210115 PS AM C 90.00 0,OCAIPS,USD,false,529900UT4DG0LG5R9O07
DE000C23LB62,OHYU SI 20210115 PS AM P 90.00 0,OPAIPS,USD,false,529900UT4DG0LG5R9O07
DE000C257SG3,OEMB SI 20210115 PS AM C 112.00 0,OCAIPS,USD,false,529900UT4DG0LG5R9O07
DE000C257SH1,OEMB SI 20210115 PS AM P 112.00 0,OPAIPS,USD,false,529900UT4DG0LG5R9O07
DE000C257T68,OHYU SI 20210115 PS AM C 105.00 0,OCAIPS,USD,false,529900UT4DG0LG5R9O07
DE000C257T76,OHYU SI 20210115 PS AM P 105.00 0,OPAIPS,USD,false,529900UT4DG0LG5R9O07
DE000C25AS31,OHYU SI 20210115 PS AM C 106.00 0,OCAIPS,USD,false,529900UT4DG0LG5R9O07
DE000C25AS49,OHYU SI 20210115 PS AM P 106.00 0,OPAIPS,USD,false,529900UT4DG0LG5R9O07
DE000C25HCD3,OEMB SI 20210115 PS AM C 113.00 0,OCAIPS,USD,false,529900UT4DG0LG5R9O07
DE000C25HCE1,OEMB SI 20210115 PS AM P 113.00 0,OPAIPS,USD,false,529900UT4DG0LG5R9O07
DE000C25HD56,OHYU SI 20210115 PS AM C 107.00 0,OCAIPS,USD,false,529900UT4DG0LG5R9O07
DE000C25HD64,OHYU SI 20210115 PS AM P 107.00 0,OPAIPS,USD,false,529900UT4DG0LG5R9O07
DE000C26JNV6,OHYU SI 20210115 PS AM C 108.00 0,OCAIPS,USD,false,529900UT4DG0LG5R9O07
DE000C26JNW4,OHYU SI 20210115 PS AM P 108.00 0,OPAIPS,USD,false,529900UT4DG0LG5R9O07
DE000C26JTJ8,OQDE SI 20210115 PS AM C 117.00 0,OCAIPS,USD,false,529900UT4DG0LG5R9O07
DE000C26JTK6,OQDE SI 20210115 PS AM P 117.00 0,OPAIPS,USD,false,529900UT4DG0LG5R9O07
DE000C26ZJV0,OEMB SI 20210115 PS AM C 114.00 0,OCAIPS,USD,false,529900UT4DG0LG5R9O07
DE000C26ZJW8,OEMB SI 20210115 PS AM P 114.00 0,OPAIPS,USD,false,529900UT4DG0LG5R9O07
DE000C27L1Y1,OQDE SI 20210115 PS AM C 118.00 0,OCAIPS,USD,false,529900UT4DG0LG5R9O07
DE000C27L1Z8,OQDE SI 20210115 PS AM P 118.00 0,OPAIPS,USD,false,529900UT4DG0LG5R9O07
DE000C27XT80,OEMB SI 20210115 PS AM C 115.00 0,OCAIPS,USD,false,529900UT4DG0LG5R9O07
DE000C27XT98,OEMB SI 20210115 PS AM P 115.00 0,OPAIPS,USD,false,529900UT4DG0LG5R9O07
